"year","month","day","question_count"
2016,11,29,161
2013,10,10,90
2016,7,9,63
2019,6,23,60
2019,6,30,64
2013,11,6,94
2019,7,1,134
2016,7,24,70
2010,1,19,2
2019,8,2,123
2020,5,17,134
2020,5,19,199
2020,5,22,192
2012,3,13,33
2012,3,18,17
2017,7,17,177
2020,8,14,163
2014,12,8,96
2013,10,7,61
2015,3,9,108
2020,11,19,186
2017,11,9,166
2015,4,10,112
2015,4,20,123
2020,11,21,97
2017,11,24,142
2018,1,7,75
2015,5,30,70
2014,2,26,115
2020,12,2,196
2018,1,24,171
2013,2,11,62
2021,3,25,193
2015,6,26,119
2011,12,17,11
2013,7,18,93
2012,1,26,30
2013,3,5,72
2015,7,22,166
2018,4,1,96
2021,5,4,171
2013,7,8,64
2020,7,13,169
2013,7,13,25
2015,8,25,137
2015,8,28,102
2014,1,3,62
2010,11,9,13
2020,3,23,193
2012,6,24,22
2017,12,30,56
2016,2,21,80
2016,4,17,110
2021,8,31,156
2019,2,15,150
2018,10,16,179
2019,2,18,162
2018,12,15,58
2019,4,9,209
2016,8,30,139
2014,4,25,89
2012,8,1,42
2016,4,15,168
2020,9,7,158
2021,4,11,118
2011,6,27,13
2011,7,25,10
2020,4,16,236
2011,1,4,7
2014,3,12,107
2016,12,18,60
2011,2,7,8
2011,3,3,20
2017,1,2,81
2011,4,6,23
2016,7,14,158
2019,7,21,61
2010,3,25,4
2013,12,19,94
2010,5,4,6
2013,12,26,34
2019,8,27,140
2016,9,23,135
2016,9,30,121
2010,8,17,10
2019,9,27,155
2014,1,30,101
2012,1,31,21
2017,6,3,72
2017,6,21,193
2018,5,27,66
2009,8,9,1
2009,9,10,8
2015,7,12,72
2014,10,17,66
2019,7,6,41
2013,4,23,83
2013,10,20,52
2009,9,5,3
2009,11,29,5
2016,8,5,143
2017,5,23,190
2016,8,10,137
2013,12,1,49
2012,8,6,32
2014,11,13,84
2012,3,25,23
2017,7,22,97
2012,4,13,23
2019,8,12,148
2012,5,9,24
2011,10,3,21
2014,8,3,38
2011,11,16,20
2013,12,6,78
2019,8,22,177
2019,8,29,141
2010,6,23,6
2010,8,2,14
2010,8,22,5
2016,10,26,133
2019,10,25,133
2019,11,4,182
2016,11,17,156
2010,12,24,2
2012,2,17,37
2017,6,16,162
2012,2,22,36
2010,7,16,12
2014,11,8,62
2010,9,15,8
2012,5,14,28
2010,7,1,6
2020,9,20,101
2010,7,21,12
2013,5,31,62
2015,1,15,115
2020,9,24,177
2021,4,28,196
2018,4,6,169
2019,10,18,153
2012,4,8,17
2016,10,29,61
2020,8,24,156
2012,6,7,41
2012,4,18,42
2014,2,19,119
2013,8,8,73
2015,7,29,139
2013,8,13,76
2015,3,14,67
2020,11,16,179
2015,9,11,142
2012,8,19,21
2015,4,5,54
2011,4,19,21
2012,8,26,16
2012,9,2,22
2012,9,12,56
2020,11,1,105
2012,9,27,53
2012,10,25,44
2012,10,27,24
2017,10,9,160
2012,11,18,38
2012,11,25,37
2012,11,28,66
2012,12,4,60
2016,11,22,147
2010,12,7,11
2010,12,9,12
2020,11,6,155
2016,11,27,82
2011,1,14,10
2017,10,14,74
2016,12,25,43
2011,2,20,8
2015,6,19,117
2020,1,11,70
2016,12,28,89
2014,3,29,61
2011,2,24,15
2011,5,26,23
2011,5,29,7
2013,9,14,26
2019,5,9,165
2019,5,10,177
2016,6,8,169
2016,6,9,178
2013,10,3,66
2016,10,16,47
2014,2,6,114
2019,10,15,165
2013,10,5,32
2019,6,10,141
2009,7,8,2
2019,6,19,209
2013,10,30,93
2009,10,6,4
2009,11,6,4
2009,12,29,5
2019,7,26,175
2019,8,1,159
2017,7,31,173
2014,12,9,110
2014,8,21,102
2012,2,27,35
2013,7,15,72
2020,11,12,202
2017,11,10,158
2017,11,11,99
2017,11,20,171
2013,1,9,62
2020,11,29,104
2015,6,1,121
2018,1,14,70
2017,5,6,64
2020,5,15,236
2011,12,18,9
2011,12,19,16
2012,1,21,12
2012,1,22,15
2015,7,26,78
2015,7,27,135
2014,9,22,86
2012,1,29,13
2013,2,24,30
2013,2,25,76
2021,5,5,197
2018,5,12,75
2017,4,5,175
2018,5,22,172
2015,8,27,132
2013,11,5,73
2016,8,7,64
2016,8,24,157
2012,3,11,28
2020,7,14,182
2015,4,3,89
2016,2,20,84
2016,2,26,166
2016,4,18,148
2016,4,19,180
2019,2,11,168
2021,8,22,77
2019,2,13,188
2016,4,25,159
2016,3,2,150
2018,12,8,74
2018,12,18,156
2016,9,6,123
2016,2,1,121
2013,2,7,77
2015,6,21,73
2011,5,12,21
2017,2,17,141
2014,6,4,96
2014,6,5,91
2011,6,29,27
2020,3,16,149
2014,7,4,68
2014,7,21,102
2020,4,17,215
2011,10,26,26
2016,12,15,113
2011,3,5,8
2020,1,7,159
2020,1,25,91
2011,6,2,14
2011,6,22,23
2013,11,23,49
2010,5,5,7
2010,5,23,3
2014,1,5,46
2010,7,29,14
2014,1,31,89
2013,4,6,38
2021,4,15,182
2018,5,29,165
2021,6,4,150
2016,7,7,152
2013,4,16,85
2014,10,19,58
2009,11,16,8
2009,9,7,2
2015,1,28,121
2017,9,13,206
2020,10,5,167
2017,9,14,162
2020,10,6,179
2019,7,19,149
2012,1,12,26
2013,11,30,47
2020,6,8,201
2014,11,12,111
2010,4,7,5
2013,12,12,82
2018,3,23,169
2013,5,16,57
2013,5,17,69
2016,9,5,93
2019,8,26,136
2014,6,30,77
2011,8,11,27
2014,8,1,97
2011,11,17,32
2014,8,20,110
2014,9,2,71
2017,5,16,180
2014,9,3,98
2012,1,2,12
2012,1,3,26
2013,12,21,36
2013,12,29,30
2014,1,7,84
2010,7,31,5
2010,9,13,4
2010,9,28,10
2014,2,15,62
2010,2,8,2
2014,3,6,126
2010,6,6,1
2020,5,31,118
2010,8,31,10
2017,8,13,79
2012,6,9,13
2012,6,10,10
2019,9,17,189
2010,7,22,10
2019,9,25,180
2010,8,15,4
2016,10,6,148
2017,9,4,123
2012,7,10,40
2013,8,4,31
2010,10,4,8
2015,1,13,99
2015,2,4,102
2010,10,13,4
2010,10,14,11
2020,10,23,194
2013,8,14,69
2010,12,20,9
2015,3,20,122
2018,6,2,66
2018,4,12,173
2015,8,2,64
2020,10,30,179
2012,9,8,25
2012,9,26,41
2012,10,17,58
2012,11,15,54
2010,12,10,8
2010,12,11,6
2011,2,14,12
2017,1,8,71
2011,3,30,17
2011,3,31,11
2019,12,23,106
2020,1,24,149
2011,7,11,17
2017,3,24,182
2018,9,21,147
2015,12,17,147
2019,12,4,193
2017,11,28,175
2020,11,23,204
2019,12,14,83
2018,6,11,147
2015,9,18,132
2015,9,24,132
2015,9,25,100
2015,11,16,132
2021,6,23,177
2016,8,11,150
2013,9,20,65
2013,9,27,67
2016,6,12,57
2016,6,21,171
2013,10,17,98
2013,10,24,79
2009,8,2,1
2019,7,4,139
2016,7,20,170
2016,7,27,147
2019,7,13,70
2019,7,23,145
2014,9,7,32
2012,2,7,24
2017,6,9,153
2012,3,15,28
2012,4,4,40
2012,4,6,27
2019,6,5,169
2017,10,16,163
2017,11,7,178
2015,4,17,132
2015,4,24,109
2018,1,9,147
2018,1,20,84
2018,1,27,91
2021,3,27,94
2013,3,23,29
2011,12,15,30
2013,4,1,42
2014,9,17,100
2019,5,31,146
2013,2,28,70
2013,3,4,66
2013,3,13,70
2018,5,9,190
2015,11,12,143
2013,11,19,106
2014,1,10,89
2020,4,22,211
2011,9,23,30
2014,9,24,81
2017,8,19,86
2009,9,11,6
2016,12,11,75
2021,4,10,110
2021,8,17,160
2018,11,30,158
2021,8,24,164
2021,8,25,181
2021,9,5,60
2018,12,4,185
2018,12,13,162
2019,9,3,125
2017,1,12,153
2011,6,16,23
2018,10,31,202
2020,1,30,178
2020,2,13,178
2017,2,20,139
2014,6,18,103
2014,6,19,106
2011,8,15,15
2020,4,3,224
2011,10,14,22
2017,5,1,125
2011,12,5,22
2014,8,16,37
2011,2,9,13
2014,4,2,114
2011,3,10,14
2011,3,11,8
2014,4,20,50
2011,5,6,25
2020,1,28,192
2017,2,2,156
2017,2,3,155
2020,2,23,94
2016,6,29,171
2016,7,2,47
2019,6,15,80
2019,8,14,174
2014,1,11,47
2016,9,19,122
2010,7,9,7
2016,10,1,74
2015,8,31,114
2017,6,20,198
2013,10,25,80
2013,4,12,43
2014,10,15,113
2015,9,5,47
2018,3,18,102
2013,4,21,43
2017,6,27,186
2018,3,19,180
2013,11,18,87
2020,9,10,199
2017,5,21,77
2012,8,4,22
2012,1,16,18
2017,7,10,175
2015,7,14,164
2013,5,2,68
2013,5,3,66
2020,8,2,85
2013,12,8,61
2010,4,11,5
2010,4,28,5
2020,8,27,178
2010,5,19,2
2013,5,22,77
2019,9,2,127
2017,2,27,158
2020,3,12,151
2020,3,29,141
2011,9,4,7
2011,9,6,18
2017,3,28,183
2020,5,10,130
2011,11,3,18
2020,5,11,232
2011,11,22,25
2011,12,30,11
2010,6,1,8
2010,6,21,12
2019,9,22,81
2010,8,25,10
2010,10,26,9
2010,11,16,7
2010,12,31,3
2011,1,1,3
2014,10,5,64
2016,8,28,50
2010,6,26,1
2020,5,28,212
2010,8,10,15
2014,11,6,107
2014,1,28,89
2016,10,12,131
2019,10,10,171
2021,4,25,101
2012,5,16,34
2017,9,1,141
2015,1,18,67
2013,6,10,81
2013,6,11,75
2020,9,25,157
2019,10,11,159
2015,2,8,52
2013,8,1,78
2016,10,21,159
2020,10,19,197
2017,9,26,168
2020,7,26,106
2010,10,8,9
2019,10,28,142
2020,8,20,183
2014,12,14,59
2012,7,5,50
2012,8,13,40
2018,4,8,84
2012,7,15,18
2016,11,9,100
2015,3,16,111
2013,8,26,73
2018,6,7,221
2013,9,2,50
2012,8,23,45
2012,9,14,42
2012,10,2,43
2012,10,3,34
2012,10,22,48
2012,11,10,22
2012,11,11,24
2014,3,1,51
2020,11,8,93
2011,1,21,11
2016,12,10,63
2015,4,7,99
2014,3,26,115
2021,3,20,93
2011,4,18,21
2019,12,26,84
2017,3,11,87
2015,12,22,103
2018,11,5,161
2019,12,1,92
2014,4,27,72
2017,1,14,71
2015,5,5,136
2020,1,10,134
2017,1,1,22
2011,3,24,15
2020,2,6,219
2014,6,13,98
2017,3,10,154
2020,3,26,215
2011,8,5,28
2011,8,30,25
2015,12,20,49
2019,12,8,74
2011,4,15,18
2020,1,15,185
2015,9,15,135
2021,5,18,191
2018,6,17,70
2018,6,22,169
2018,6,24,61
2015,11,14,64
2015,11,26,122
2015,12,2,149
2018,9,9,79
2015,12,7,134
2018,9,14,151
2017,1,16,102
2017,12,19,130
2017,2,9,163
2014,5,24,46
2011,6,14,13
2017,2,22,153
2020,12,16,175
2013,1,22,57
2015,6,8,129
2018,2,7,223
2013,1,24,66
2013,2,15,55
2020,4,20,244
2014,8,9,57
2015,7,21,174
2017,4,18,157
2020,5,5,258
2013,6,25,90
2014,8,29,62
2021,5,23,108
2015,8,7,128
2018,4,23,179
2015,10,6,128
2018,7,5,214
2015,10,8,139
2018,7,15,80
2018,7,18,204
2020,6,19,202
2018,7,30,154
2015,11,1,65
2020,7,12,102
2018,9,29,69
2018,10,2,139
2017,7,25,210
2015,12,27,55
2016,1,4,112
2017,7,28,168
2021,7,9,152
2018,10,7,88
2021,7,14,156
2014,12,29,57
2020,9,28,178
2016,2,12,155
2018,11,18,84
2017,10,27,167
2021,1,18,149
2013,1,27,28
2021,1,23,109
2015,6,13,61
2021,2,8,192
2021,2,21,101
2018,2,17,83
2016,3,25,122
2019,1,10,143
2021,9,18,86
2016,5,4,171
2018,10,20,81
2016,5,6,132
2021,9,30,148
2018,10,22,166
2021,10,4,142
2019,3,4,169
2018,10,24,175
2016,1,26,150
2021,10,26,166
2018,10,27,65
2019,1,25,148
2016,4,11,163
2011,5,8,7
2009,4,25,1
2009,6,4,1
2010,1,13,3
2010,6,12,2
2010,2,14,2
2010,2,26,5
2010,3,22,3
2010,4,30,2
2010,5,13,4
2010,11,27,6
2009,4,3,1
2008,9,17,1
2009,2,4,1
2011,7,17,3
2008,9,24,1
2009,12,16,1
2019,4,27,101
2016,5,24,139
2019,5,19,79
2010,9,23,10
2014,2,7,99
2019,10,16,154
2019,10,31,149
2010,12,1,9
2016,11,14,118
2019,5,27,107
2019,6,27,156
2016,7,15,126
2016,7,16,57
2013,11,13,100
2019,7,9,166
2016,7,31,65
2016,8,8,161
2013,12,4,86
2012,2,11,11
2020,7,23,197
2012,4,26,36
2020,8,15,82
2020,8,16,81
2013,10,13,40
2012,5,1,30
2011,12,10,14
2015,3,12,148
2015,4,11,67
2015,4,12,54
2015,4,13,110
2017,11,19,99
2017,11,21,210
2017,11,27,159
2018,1,15,157
2013,3,25,68
2018,3,14,185
2015,7,9,176
2014,8,27,77
2009,4,10,2
2013,3,8,75
2013,7,6,34
2013,7,7,34
2021,5,31,154
2015,11,8,80
2013,12,13,81
2017,2,24,135
2014,8,12,98
2015,4,2,125
2017,11,2,168
2015,8,26,149
2018,5,21,120
2016,10,7,125
2011,8,1,20
2016,2,27,84
2021,8,28,54
2021,9,10,128
2018,12,9,78
2016,3,11,149
2019,4,2,187
2020,2,19,209
2017,1,24,128
2013,3,18,69
2014,6,6,80
2020,3,17,172
2011,7,26,20
2018,9,1,67
2018,9,20,149
2011,4,23,10
2020,1,18,60
2015,5,10,72
2011,4,30,7
2011,5,1,9
2011,5,21,7
2015,5,19,136
2011,6,12,7
2011,7,2,10
2018,2,5,182
2020,12,22,144
2014,6,23,97
2011,7,27,31
2017,3,7,172
2011,7,28,16
2020,12,29,117
2020,12,31,85
2013,2,18,74
2014,7,23,118
2015,7,1,132
2018,3,5,210
2013,6,15,34
2011,10,20,23
2018,3,30,138
2011,12,25,3
2012,2,2,32
2018,4,21,90
2018,4,29,116
2015,8,11,129
2018,6,27,179
2018,6,28,203
2018,7,11,170
2021,6,14,137
2012,3,28,41
2018,7,28,78
2017,7,15,72
2020,8,7,167
2016,1,1,38
2021,7,3,69
2021,7,20,172
2012,5,20,23
2021,7,21,188
2018,10,10,140
2020,9,5,89
2021,8,2,125
2021,8,3,160
2020,9,30,165
2018,11,19,154
2015,2,13,102
2012,7,19,54
2015,2,14,54
2013,1,25,55
2015,6,12,119
2021,2,6,93
2021,2,16,190
2019,1,2,102
2019,1,3,127
2016,3,27,42
2021,9,19,80
2016,1,21,168
2019,2,28,192
2016,5,8,52
2021,10,12,175
2019,1,27,72
2019,4,20,84
2009,10,23,2
2010,6,16,10
2011,10,1,10
2010,4,24,1
2011,8,28,9
2009,10,30,2
2010,1,6,1
2009,12,22,2
2010,5,30,2
2009,10,5,1
2009,5,18,1
2009,9,24,1
2013,9,23,59
2019,4,30,176
2013,9,13,63
2013,9,18,74
2019,5,6,153
2019,5,8,187
2016,5,31,125
2016,6,5,73
2013,10,1,68
2016,6,10,144
2019,10,14,137
2016,10,25,162
2010,11,15,8
2013,10,6,35
2019,6,12,155
2009,8,18,2
2013,11,2,46
2016,7,13,175
2016,7,23,63
2009,11,25,2
2013,11,20,93
2016,8,1,134
2019,7,27,73
2016,8,14,69
2010,3,4,4
2012,2,8,33
2012,2,13,34
2012,3,14,41
2020,7,17,171
2014,11,22,58
2020,8,13,187
2016,6,15,149
2020,8,18,170
2017,10,15,80
2015,3,5,172
2017,11,8,177
2017,11,13,155
2017,11,23,153
2015,4,26,83
2015,5,29,134
2019,10,29,171
2015,6,3,131
2018,1,13,70
2015,6,25,139
2021,4,12,185
2011,12,16,22
2013,3,31,39
2013,7,22,80
2012,1,30,35
2021,3,4,236
2021,5,3,152
2013,7,9,86
2015,11,11,149
2019,6,9,59
2019,7,20,76
2016,9,22,151
2014,3,28,98
2014,7,11,108
2020,9,6,100
2018,5,19,98
2014,1,29,108
2020,10,2,163
2016,4,16,86
2018,11,21,166
2019,2,9,90
2016,4,21,158
2021,8,23,147
2019,2,14,169
2019,3,24,88
2016,3,8,135
2019,4,5,162
2016,12,12,147
2014,10,21,125
2012,8,2,54
2012,4,24,46
2016,1,31,57
2014,6,3,110
2017,2,19,87
2020,5,8,230
2014,3,11,127
2014,4,4,117
2011,3,12,5
2011,4,2,9
2011,5,10,16
2017,2,4,73
2009,4,13,2
2013,10,21,64
2009,9,14,7
2019,6,29,68
2009,10,2,4
2013,11,27,84
2013,12,10,99
2010,5,3,9
2019,8,28,156
2014,1,12,48
2019,9,19,172
2014,9,23,102
2015,7,11,65
2009,9,26,1
2019,7,2,166
2016,7,18,155
2019,7,7,53
2012,3,9,31
2021,5,19,178
2021,6,8,159
2018,8,23,137
2015,11,21,65
2015,11,29,58
2015,12,3,155
2021,6,26,66
2018,9,16,68
2014,5,10,62
2020,2,4,208
2015,5,15,124
2017,1,29,75
2020,12,9,192
2014,5,25,59
2015,6,6,44
2020,3,21,118
2011,7,31,8
2014,7,8,102
2011,10,16,13
2017,4,19,190
2017,5,12,153
2015,9,30,121
2015,10,4,64
2015,10,13,135
2017,7,11,195
2015,10,23,136
2020,7,1,214
2018,8,6,144
2016,1,6,150
2012,4,23,30
2021,7,16,142
2017,8,18,151
2018,11,15,155
2016,2,14,63
2012,6,22,32
2012,7,30,54
2021,1,13,176
2018,2,10,97
2018,2,11,94
2021,2,1,177
2013,1,31,69
2021,2,26,138
2021,3,2,194
2018,12,23,60
2019,1,7,143
2016,3,31,160
2019,1,17,161
2016,4,30,71
2021,9,15,168
2021,10,6,178
2019,3,6,187
2016,5,13,141
2016,4,5,163
2019,1,24,152
2019,4,16,173
2009,2,6,1
2021,8,7,80
2009,7,29,3
2009,12,9,5
2010,3,2,4
2010,3,27,2
2009,9,28,5
2009,11,1,2
2009,11,26,4
2010,2,12,7
2010,3,20,1
2012,9,29,17
2009,10,19,1
2009,8,20,1
2010,2,21,2
2009,8,27,1
2010,9,18,2
2019,10,22,173
2016,5,26,147
2019,5,11,68
2019,5,21,168
2010,9,26,7
2016,10,18,148
2019,6,2,85
2019,6,4,153
2009,7,20,1
2019,6,17,178
2009,9,19,2
2013,11,12,96
2019,7,12,167
2009,11,23,6
2013,11,17,55
2016,7,30,55
2009,12,11,8
2013,11,24,35
2017,6,7,179
2014,9,27,40
2014,9,30,99
2014,10,23,97
2020,5,23,152
2017,7,18,179
2013,9,21,29
2020,7,22,193
2012,4,29,14
2011,12,8,31
2015,3,10,146
2015,3,13,131
2015,4,9,115
2020,11,20,164
2015,4,19,109
2018,1,8,155
2015,6,5,113
2020,12,6,124
2018,1,28,103
2018,2,22,211
2021,3,24,212
2021,3,26,185
2021,3,29,162
2014,8,24,58
2015,8,29,54
2013,3,26,77
2013,3,28,66
2012,1,23,37
2018,3,7,190
2015,7,3,96
2013,2,23,40
2013,3,1,62
2018,3,10,99
2013,7,14,36
2021,5,30,98
2018,10,12,145
2021,8,15,83
2016,7,5,154
2016,7,8,163
2016,9,29,135
2019,9,26,187
2017,6,29,174
2012,5,23,35
2013,12,5,81
2010,8,16,14
2014,6,11,117
2011,10,22,9
2015,5,24,78
2016,1,19,140
2016,2,17,170
2016,2,24,150
2018,12,1,83
2019,2,6,211
2021,8,20,128
2021,9,8,159
2018,12,11,167
2018,12,16,60
2019,10,4,154
2010,10,15,3
2014,5,2,101
2013,3,16,37
2014,5,20,98
2011,6,4,12
2014,6,21,37
2020,3,19,214
2017,3,18,82
2014,7,19,53
2011,9,16,29
2014,8,4,100
2020,5,13,263
2011,12,6,30
2011,9,28,20
2017,4,8,85
2014,8,17,53
2016,12,2,126
2011,1,13,14
2011,2,6,8
2011,3,4,16
2014,4,17,94
2019,11,25,178
2020,1,27,171
2011,5,30,13
2011,6,1,13
2020,2,11,221
2009,10,17,1
2010,4,13,12
2016,8,31,139
2013,12,27,42
2016,9,7,125
2019,9,11,160
2021,5,8,110
2014,5,28,112
2017,2,25,78
2011,8,4,21
2015,12,16,134
2016,2,3,155
2015,4,30,135
2017,12,5,171
2013,1,11,54
2013,9,7,36
2015,9,28,118
2018,6,25,163
2015,11,20,109
2015,11,23,130
2018,9,3,122
2017,12,10,98
2017,1,27,131
2014,5,11,54
2020,11,26,168
2011,5,19,18
2017,12,23,54
2020,12,12,110
2018,2,3,96
2020,12,17,173
2020,3,20,177
2020,12,27,67
2021,1,1,65
2021,1,6,159
2015,6,29,132
2018,3,6,215
2015,7,2,132
2017,4,4,188
2013,6,17,71
2011,10,21,23
2013,6,22,31
2018,4,19,213
2018,4,26,227
2018,5,2,174
2018,7,4,149
2020,6,13,122
2020,6,15,204
2020,6,18,221
2014,11,18,117
2020,7,8,187
2018,8,4,75
2018,10,3,190
2015,12,31,67
2020,8,9,76
2017,8,15,160
2017,9,8,153
2012,6,20,45
2018,11,17,69
2016,2,16,147
2015,5,23,62
2021,1,19,163
2013,1,28,54
2021,1,26,164
2021,2,12,166
2016,3,17,156
2016,3,22,162
2021,9,17,125
2019,2,25,179
2016,1,23,68
2021,10,8,153
2021,10,13,154
2019,3,8,159
2016,5,15,80
2021,10,18,156
2016,5,18,152
2019,3,13,174
2019,3,18,156
2019,1,22,153
2019,1,31,192
2019,4,14,104
2009,1,7,1
2009,12,12,2
2009,9,30,3
2009,7,14,1
2009,7,9,1
2009,11,12,5
2009,12,2,4
2012,1,1,8
2010,7,3,3
2009,3,16,1
2010,1,1,1
2009,1,24,2
2011,1,9,1
2009,8,14,1
2009,8,7,2
2010,1,26,3
2010,2,27,2
2013,9,10,66
2013,9,11,65
2016,6,3,142
2010,9,24,18
2019,11,1,145
2014,2,21,102
2016,5,29,63
2016,6,4,65
2013,10,9,86
2016,6,22,166
2016,6,23,154
2019,6,6,155
2013,10,19,41
2019,7,5,125
2016,8,3,164
2010,2,2,9
2016,8,20,61
2012,2,5,17
2017,6,10,68
2020,5,27,242
2012,4,5,32
2012,4,30,22
2015,3,6,145
2015,3,7,68
2017,10,17,163
2020,11,18,203
2013,1,15,62
2018,1,25,187
2018,1,26,168
2020,12,8,177
2013,3,29,53
2013,3,30,27
2014,9,16,94
2012,1,24,23
2013,7,21,31
2013,4,3,76
2017,6,1,184
2013,2,4,61
2013,2,22,63
2018,3,8,210
2015,7,4,52
2021,4,9,177
2015,7,23,166
2013,7,10,85
2013,7,12,73
2018,5,8,179
2015,8,15,60
2015,8,16,66
2018,5,17,172
2021,6,18,161
2019,8,13,183
2016,12,27,92
2017,3,22,178
2014,12,31,56
2018,11,23,119
2016,2,23,156
2019,2,7,191
2019,2,8,167
2021,8,18,156
2016,4,22,136
2016,4,23,83
2019,2,17,86
2021,9,6,136
2021,9,7,157
2018,10,30,193
2016,3,5,75
2019,4,6,83
2019,4,7,79
2019,7,30,157
2010,1,28,4
2009,11,2,5
2013,3,14,86
2011,5,16,8
2020,3,2,144
2017,3,3,136
2011,9,14,36
2011,9,15,12
2020,4,30,229
2014,8,6,113
2020,5,2,138
2011,9,30,24
2011,10,31,22
2014,3,20,99
2016,12,19,119
2016,12,20,148
2011,2,10,11
2017,1,3,123
2017,1,4,120
2011,3,9,20
2019,11,28,137
2014,4,21,70
2019,11,29,131
2017,1,13,132
2017,1,22,62
2017,1,23,122
2014,5,19,79
2011,6,24,12
2009,12,26,2
2017,3,16,164
2017,4,15,91
2017,4,16,80
2020,4,24,228
2011,1,6,9
2016,12,6,168
2019,11,15,141
2014,4,6,66
2011,4,4,16
2017,1,9,115
2011,6,3,17
2017,2,16,154
2009,12,23,4
2019,10,5,86
2014,10,11,43
2019,6,11,180
2012,3,1,25
2013,4,15,65
2012,3,3,13
2013,11,4,84
2012,5,26,18
2009,8,6,4
2012,6,25,35
2012,6,26,40
2019,7,24,195
2012,1,13,23
2014,9,11,106
2012,8,7,41
2010,1,8,1
2013,5,7,76
2013,5,8,52
2021,4,23,190
2019,8,9,142
2014,8,2,34
2011,11,8,28
2011,11,18,25
2011,11,25,16
2017,5,15,156
2012,1,4,28
2016,9,14,140
2010,7,13,12
2010,8,4,13
2010,8,5,13
2010,8,23,16
2010,10,22,12
2010,10,23,4
2012,8,8,36
2017,6,14,181
2010,4,6,4
2017,6,15,199
2016,9,15,119
2019,9,16,122
2014,1,15,79
2014,11,1,56
2019,9,24,158
2010,8,30,6
2017,8,14,159
